stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Nelamangala Jass,nan,NMG Jass,40437,Nelamangala Jass (Towards Dabaspet),13.1137,77.37542,,nan
Nelamangala Jass,nan,NMG Jass,40438,Nelamangala Jass (Towards Nelamangala),13.11568,77.37378,,nan
Nelamangala Jass Toll,nan,NMG Jass,27420,Nelamangala Jass Toll (Towards Dabaspet),13.11379,77.37524,,nan
Nelamangala Jass Toll,nan,NMG Jass,34138,Nelamangala Jass Toll (Towards Nelamangala),13.11541,77.37417,,nan
Nelamangala Railway Station,nan,NMGRS,34139,Nelamangala Railway Station (Towards Last Stop),13.11213,77.39275,,nan
Nellukunte,nan,NLK,27428,Nellukunte (Towards Dodda Tumkur),13.22201,77.54179,,nan
Nellukunte,nan,NLK,34142,Nellukunte (Towards Marasandra Circle),13.22215,77.54189,,nan
Neragenahalli,nan,NRGHL,27433,Neragenahalli (Towards Sadahalli),13.23603,77.63007,,nan
Neragenahalli,nan,NRGHL,34144,Neragenahalli (Towards Kundana),13.23602,77.63003,,nan
Neragenahalli Cross,nan,NRH,27435,Neragenahalli Cross (Towards Singarahalli),13.22897,77.62986,,nan
Neragenahalli Cross,nan,NRHC,34145,Neragenahalli Cross (Towards Nerigenahalli),13.229,77.62985,,nan
Neralemarada Doddi,nan,NMDD1,27437,Neralemarada Doddi (Towards Harohalli),12.65863,77.49166,,nan
Neralemarada Doddi,nan,NMDD1,34146,Neralemarada Doddi (Towards Maralawadi),12.65868,77.49163,,nan
Neraluru Gate,nan,NRLG,22354,Neraluru Gate (Towards Attibele),12.79229,77.72844,,nan
Neraluru Gate,nan,NRLG,22355,Neraluru Gate (Towards Chandapura),12.79217,77.72813,,nan
Nerige,nan,NRGI1,24026,Nerige (Towards Kamanahalli),12.91165,77.77684,,nan
Nerige,nan,NRGI1,24035,Nerige (Towards Gunjuru),12.91177,77.7769,,nan
Neshepalya,nan,NSPLY1,27441,Neshepalya (Towards Magadi),12.93296,77.21401,,nan
Neshepalya,nan,NSPLY1,34148,Neshepalya (Towards Managal),12.93294,77.21405,,nan
